～	53375 
ｘ	53372 
ｗ	53371 
ｔ	53369 
ｎ	53367 
拿	39844 44677 44678 44679 44680 47046 
怕	38705 40536 40575 41037 43991 52148 53116 
惩	39809 
展	38473 40310 40371 40372 40373 40374 41231 41300 41802 42147 42850 42851 42852 42853 42854 42855 42856 42857 42858 44488 44637 45353 45390 48171 48220 48654 50122 50182 50420 51720 51855 53013 
勉	39807 39899 39900 
威	37795 42022 42162 42163 42164 42165 42166 42167 42168 42169 42170 42171 43733 46187 46188 46348 51526 51731 52529 52667 
打	39775 39923 41812 44448 44449 44450 44451 44452 44453 44454 44455 44456 44457 44458 44459 44460 44461 44462 44463 44464 44890 46461 46652 
毓	46733 
剥	39756 39757 39758 39759 39760 39761 
桥	39753 49016 
萨	38455 44629 47989 50377 50378 50379 
剑	39751 39752 39753 41059 50702 
呼	39726 40907 40962 40963 40964 40965 40966 40967 40968 40969 44112 48383 49934 
泾	47080 
履	39715 42335 42870 42871 50289 
刽	39711 
错	36897 37833 49384 52379 52380 
纹	39709 43088 43594 46417 47057 49396 49397 49398 49399 49400 49633 50215 50479 53206 
衡	39690 39869 41441 41951 42297 43142 43143 44565 46192 48038 50544 50545 53319 
刮	39674 
曰	36356 37501 39016 40656 40782 44322 45071 45833 46807 48225 49539 52174 52360 
卷	36586 36623 37677 40175 40176 40177 49087 49103 49114 49127 49134 
益	39658 40436 41819 43701 43702 44756 45082 45111 45493 45562 45563 46007 46008 48344 48345 48346 48452 48736 49256 49474 50353 51603 
修	38627 38628 38629 38630 38631 38632 38633 38634 38635 38636 38637 38638 38639 38640 38641 38642 38643 45777 46539 49306 49307 51532 53070 
刨	39646 
遇	39603 41559 43647 44070 46168 46729 48480 51120 52073 52074 52075 52119 52542 
虔	50443 
愎	39600 
刚	39595 39596 39597 39598 39599 39600 39601 39602 39603 52312 52486 
奇	36733 38302 38303 41064 41976 41977 41978 41979 41980 41981 41982 41983 41984 41985 41986 41987 44113 45330 45855 47982 48769 48994 50208 51712 52665 
桂	46421 
汀	39588 
劲	38509 43494 51449 
强	36993 39544 39599 39841 39900 40105 40328 41567 41995 43489 43490 43491 43492 43493 43494 43495 43496 43497 43498 43499 43500 43501 43502 43503 43504 43505 43506 43507 43508 43657 45861 46273 47378 47674 47720 47725 50026 51646 52887 52888 
羹	50358 
刊	39552 39553 39554 39555 39782 40936 42277 44587 45934 46048 
稠	47185 48945 
镳	39535 
抗	39516 40338 40956 42611 44562 44563 44564 44565 44598 
虚	38182 38284 38722 39370 42441 47845 48343 48980 50444 50445 50446 50447 50448 50449 50450 50451 50452 50453 50454 50455 50456 50457 50458 50459 50460 50461 50462 50463 
赏	39495 46529 46530 47527 50186 50718 50719 51391 51392 51393 51412 52330 52674 
粹	41296 49370 
染	39472 44218 46335 46336 46337 46918 47234 47406 
ｏ	53368 
赶	51442 51940 53106 
污	39472 40772 46917 46918 46919 46920 46921 
怒	39465 41133 42201 43885 43886 43887 44227 
凯	39425 39426 39427 
妇	37844 39300 42120 42121 42122 42123 42126 45331 
凫	39420 39421 
祖	38454 39018 42150 46900 47108 47606 48753 48754 48755 48756 50475 53306 
既	45533 45534 45535 45536 45537 45538 45539 45540 45541 45542 45543 45544 45545 46937 
几	39385 39386 39387 39388 39389 39390 39391 39392 39393 39394 39395 39396 39397 39398 39399 39400 39401 39402 39403 39404 39405 39406 39407 39408 39409 39410 39411 39591 39986 39987 39988 42066 42067 43318 48443 51769 
鬼	36873 37964 44667 45148 46669 47427 53107 53186 53187 53202 
蓝	50415 50416 50417 50418 
绳	39366 49556 49557 51420 
钵	52352 
确	39363 39364 39365 39524 43302 45626 45676 45677 45678 46597 46598 46599 48320 48672 48673 48674 48675 48676 48677 48678 48679 48680 48681 48682 48683 48684 49257 49258 49259 52648 
凄	39359 39360 
冼	39356 
逾	36893 
庆	42350 43240 43241 49050 
啾	39350 41117 
冶	39349 42247 52589 
忠	39589 43833 43834 43835 43836 43837 43838 43839 43840 46540 53261 
蚀	47247 
迥	51903 51904 
策	39340 39341 42664 44336 44430 45048 48891 49159 49160 50819 
突	39328 43390 45563 48991 48992 48993 48994 48995 48996 48997 48998 48999 
龙	39320 40128 40521 42786 43685 45228 46964 47815 47816 47857 49716 51138 51540 51585 52768 53321 53322 53323 53324 53325 
邃	47338 
刺	39694 39695 39696 39697 47303 49670 50923 
冠	39307 39308 50547 
ｄ	53361 
鞋	39306 46058 
技	39609 44521 44522 44523 44524 44525 44526 44527 46182 48880 48885 50433 53174 
瓦	40118 40124 42018 43070 43453 45550 47986 47987 47988 47989 47990 
６	53342 
吾	39276 40786 40916 40917 48529 49059 49562 52790 52791 
冒	39266 39267 
椰	46469 
蕴	39236 39927 43285 50427 50428 50429 50430 
你	38490 38491 38492 38493 44303 
兹	39189 39190 39426 41023 41024 43452 47095 49560 49561 52730 
恶	36547 36900 36924 41121 41412 42070 44030 44031 44032 44033 44034 44035 52160 
瞻	39735 39736 42209 
析	39171 39522 39523 39754 39837 46227 46241 46294 47297 49261 50776 50909 50946 51392 51681 51687 52471 
